sourceDomainId	actions	targetDomainId	databases	type	drugbankId	uniprotId
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P31434
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q9ZAG3
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P49424
drugbank.DB03814		2683	DrugBank	DrugHasTarget	DB03814	P15291
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P00521
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P0AEG6
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P0A9B2
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P20932
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	O68601
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P0A6Y5
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P76270
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q88H32
drugbank.DB03814		5860	DrugBank	DrugHasTarget	DB03814	P09417
drugbank.DB03814		435	DrugBank	DrugHasTarget	DB03814	P04424
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P0A8D6
drugbank.DB03814		403	DrugBank	DrugHasTarget	DB03814	P36405
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P52664
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P45314
drugbank.DB03814		26013	DrugBank	DrugHasTarget	DB03814	Q9Y468
drugbank.DB03814		590	DrugBank	DrugHasTarget	DB03814	P06276
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P54548
drugbank.DB03814		9588	DrugBank	DrugHasTarget	DB03814	P30041
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q9X9L0
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q9X5N2
drugbank.DB03814		653509	DrugBank	DrugHasTarget	DB03814	Q8IWL2
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P60355
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q84FH6
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q9FCA6
drugbank.DB03814		56269	DrugBank	DrugHasTarget	DB03814	Q6NXR0
drugbank.DB03814		1215	DrugBank	DrugHasTarget	DB03814	P23946
drugbank.DB03814		2950	DrugBank	DrugHasTarget	DB03814	P09211
drugbank.DB03815			DrugBank	DrugHasTarget	DB03815	P69923
